Year,Osoyoos,OsoSkaInd,OsoSkaOkaCU
2004,41791,41791,41791
2005,31260,31260,31260
2006,20819,20819,20819
2007,13490,13490,13490
2008,126972,126972,126972
2009,64024,64024,64024
2010,182122,182122,182122
2011,35900,45326,45326
2012,90862,103098,103098
2013,33820,42930,42930
2014,145206,194937,194937
2015,10255,20415,20415
2016,54281,87371,87371
2017,9893,35257,35257
2018,30755,56175,56175
2019,12913,29251,29251
2020,46510,79399,79399
2021,10457,19231,19231
2022,75437,104958,109644
2023,17238,32130,32144
