Plot,CUIndex,Species,CU_ID,CU_Name,CU_Acro
CK_BoundaryBay,-1,Chinook,CK-02,Boundary Bay_FA_0.3,BB
CK_GeorgiaStrait_Lower,-1,Chinook,CK-21,East Vancouver Island-Goldstream_FA_0.x,Goldstr
CK_GeorgiaStrait_Lower,0,Chinook,CK-22,East Vancouver Island-Cowichan & Koksilah_FA_0.x,CWCH-KOK
CK_GeorgiaStrait_Middle,-1,Chinook,CK-23,East Vancouver Island-Nanaimo_SP_1.x,NanR-spr
CK_GeorgiaStrait_Middle,0,Chinook,CK-25,East Vancouver Island-Nanaimo & Chemainus_FA_0.x,EVI-fall
CK_GeorgiaStrait_Middle,1,Chinook,CK-27,East Vancouver Island-Qualicum & Puntledge_FA_0.x,QP-fall
CK_GeorgiaStrait_Middle,2,Chinook,CK-83,East Vancouver Island - Georgia Strait Summer 0.3,GS-Sum
CK_GeorgiaStrait_Upper,-1,Chinook,CK-29,East Vancouver Island-North_FA_0.x,NEVI
CK_MainlandInlet,-1,Chinook,CK-20,Southern Mainland-Georgia Strait_FA_0.x,SMn-GStr
CK_MainlandInlet,0,Chinook,CK-28,Southern Mainland-Southern Fjords_FA_0.x,SMn-SFj
CK_MainlandInlet,1,Chinook,CK-34,Homathko_SU_x.x,Homa
CK_MainlandInlet,2,Chinook,CK-35,Klinaklini_SU_1.3,Klina
CK_WCVI,-1,Chinook,CK-31,West Vancouver Island-South_FA_0.x,SWVI
CK_WCVI,0,Chinook,CK-32,West Vancouver Island-Nootka & Kyuquot_FA_0.x,NoKy
CK_WCVI,1,Chinook,CK-33,West Vancouver Island-North_FA_0.x,NWVI
CK-Fraser_Fall_4_1,-1,Chinook,CK_03,Lower Fraser River_FA_0.3,LFR-fall
CK-Fraser_Spring_4_2,-1,Chinook,CK_16,South Thompson-Bessette Creek_SU_1.2,STh-BESS
CK-Fraser_Spring_4_2,0,Chinook,CK_17,Lower Thompson_SP_1.2,LTh
CK-Fraser_Spring_5_2,-1,Chinook,CK_04,Lower Fraser River_SP_1.3,LFR-spring
CK-Fraser_Spring_5_2,0,Chinook,CK_08,Middle Fraser-Fraser Canyon_SP_1.3,FRCanyon
CK-Fraser_Spring_5_2,1,Chinook,CK_10,Middle Fraser River_SP_1.3,MFR-spring
CK-Fraser_Spring_5_2,2,Chinook,CK_12,Upper Fraser River_SP_1.3,UFR-spring
CK-Fraser_Spring_5_2,3,Chinook,CK_18,North Thompson_SP_1.3,NTh-spr
CK-Fraser_Summer_4_1,-1,Chinook,CK_07,Maria Slough_SU_0.3,Maria
CK-Fraser_Summer_4_1,0,Chinook,CK_13,South Thompson_SU_0.3,STh-0.3
CK-Fraser_Summer_4_1,1,Chinook,CK_15,Shuswap River_SU_0.3,STh-SHUR
CK-Fraser_Summer_5_2,-1,Chinook,CK_05,Lower Fraser River-Upper Pitt_SU_1.3,LFR-UPITT
CK-Fraser_Summer_5_2,0,Chinook,CK_06,Lower Fraser River_SU_1.3,LFR-summer
CK-Fraser_Summer_5_2,1,Chinook,CK_09,Middle Fraser River-Portage_FA_1.3,Portage
CK-Fraser_Summer_5_2,2,Chinook,CK_11,Middle Fraser River_SU_1.3,MFR-summer
CK-Fraser_Summer_5_2,3,Chinook,CK_14,South Thompson_SU_1.3,STh-1.3
CK-Fraser_Summer_5_2,4,Chinook,CK_19,North Thompson_SU_1.3,NTh-sum
CK-Okanagan,-1,Chinook,CK-01,Okanagan_1.x,OK
CM_Fraser,-1,Chum,CM_02,Lower Fraser Chum,LowerFraser
CO_InteriorFraser,-1,Coho,CO_01,Middle Fraser,MFr
CO_InteriorFraser,0,Coho,CO_02,Fraser Canyon,FrCny
CO_InteriorFraser,1,Coho,CO_03,Lower Thompson,Lthom
CO_InteriorFraser,2,Coho,CO_04,North Thompson,NTh
CO_InteriorFraser,3,Coho,CO_05,South Thompson,STh
PK_Fraser,-1,Pink,PKO_01,Fraser Pink,Fraser
SK_Nass,-1,Sockeye,SkeenaNass_1,Lower Nass Sea & River Type,LNassSRT
SK_Nass,0,Sockeye,SkeenaNass_2,Meziadin,Meziadin
SK_Nass,1,Sockeye,SkeenaNass_3,Bowser,Bowser
SK_Nass,2,Sockeye,SkeenaNass_4,Oweegee,Oweege
SK_Nass,3,Sockeye,SkeenaNass_5,Kwinageese,Kwinag
SK_Nass,4,Sockeye,SkeenaNass_5b,Fred Wright,FredWr
SK_Nass,5,Sockeye,SkeenaNass_6,Damdochax,Damdoch
SK_Nass,6,Sockeye,SkeenaNass_7,Upper Nass River Type,UNassRT
SK_Skeena,-1,Sockeye,SkeenaNass_8,Johnston,Johnston
SK_Skeena,0,Sockeye,SkeenaNass_9,Ecstall,Ecstall
SK_Skeena,1,Sockeye,SkeenaNass_10,Alastair,Alastair
SK_Skeena,2,Sockeye,SkeenaNass_11,Lakelse,Lakelse
SK_Skeena,3,Sockeye,SkeenaNass_12,Kitsumkalum,Kitsumk
SK_Skeena,4,Sockeye,SkeenaNass_13,Mcdonell,Mcdonell
SK_Skeena,5,Sockeye,SkeenaNass_13b,Aldrich,Aldrich
SK_Skeena,6,Sockeye,SkeenaNass_13c,Dennis,Dennis
SK_Skeena,7,Sockeye,SkeenaNass_14,Kitwanga,Kitwanga
SK_Skeena,8,Sockeye,SkeenaNass_15,Bulkley,Bulkley
SK_Skeena,9,Sockeye,SkeenaNass_15b,Maxan,Maxan
SK_Skeena,10,Sockeye,SkeenaNass_16,Morice,Morice
SK_Skeena,11,Sockeye,SkeenaNass_16b,Atna,Atna
SK_Skeena,12,Sockeye,SkeenaNass-17,Stephens,Steph
SK_Skeena,13,Sockeye,SkeenaNass_17b,Swan,Swan
SK_Skeena,14,Sockeye,SkeenaNass_17c,Club,Club
SK_Skeena,15,Sockeye,SkeenaNass_18,Babine Early Wild,Bab-EW
SK_Skeena,16,Sockeye,SkeenaNass_20,Babine Mid Wild,Bab-MW
SK_Skeena,17,Sockeye,SkeenaNass_19,Babine Late Wild,Bab-LW
SK_Skeena,18,Sockeye,SkeenaNass_23,Sicintine,Sicintine
SK_Skeena,19,Sockeye,SkeenaNass_24,Slamgeesh,Slamg
SK_Skeena,20,Sockeye,SkeenaNass_24b,Damshilgwit,Damshil
SK_Skeena,21,Sockeye,SkeenaNass_25,Motase,Motase
SK_Skeena,22,Sockeye,SkeenaNass_26,Bear,Bear
SK_Skeena,23,Sockeye,SkeenaNass-26b,Azuklotz,Azukl
SK_Skeena,24,Sockeye,SkeenaNass_27,Asitka,Asitka
SK_Skeena,25,Sockeye,SkeenaNass_28,Sustut,Sustut
SK_Skeena,26,Sockeye,SkeenaNass-28b,Johansen,Johan
SK_Skeena,27,Sockeye,SkeenaNass-28c,Spawning Lake,Spawning
SK_Skeena,28,Sockeye,SkeenaNass_29,Kluantantan,Kluant
SK_Skeena,29,Sockeye,SkeenaNass_30,Kluayaz,Kluayaz
SK_Skeena,30,Sockeye,SkeenaNass_31,Skeena River Type,Skeena RT
SK-Fraser_EarlyStuart,-1,Sockeye,CU_18,Takla_Trem_EStu,Estu
SK-Fraser_EarlySummer,-1,Sockeye,CU_1,Bowron_ES,ES_Bowr
SK-Fraser_EarlySummer,0,Sockeye,CU_14,Nahatlatch_ES,ES_Naha
SK-Fraser_EarlySummer,1,Sockeye,CU_15,Taseko_ES,ES_Tas
SK-Fraser_EarlySummer,2,Sockeye,CU_17,Chilliwack_ES,ES_Chill
SK-Fraser_EarlySummer,3,Sockeye,CU_19,Anderson_Seton_ES,ES_AndSet
SK-Fraser_EarlySummer,4,Sockeye,CU_2,Kamloops_ES,ES_Kaml
SK-Fraser_EarlySummer,5,Sockeye,CU_20,Shuswap_ES,ES_Shu
SK-Fraser_EarlySummer,6,Sockeye,CU_3,Nadina_Francois_ES,ES_NadFran
SK-Fraser_EarlySummer,7,Sockeye,CU_4,North_Barriere_ES,ES_Nbarr
SK-Fraser_EarlySummer,8,Sockeye,CU_5,Pitt_ES,ES_Pitt
SK-Fraser_EarlySummer,9,Sockeye,CU_6b,Chilko_ES,ES_Chilko
SK-Fraser_Late,-1,Sockeye,CU_10,Seton_L,L_Set
SK-Fraser_Late,0,Sockeye,CU_11,Harrison_US_L,L_HarrUS
SK-Fraser_Late,1,Sockeye,CU_12,Lillooet_Harr_L,L_LilHarr
SK-Fraser_Late,2,Sockeye,CU_13,Harrison_DS_L,L_HarrDS
SK-Fraser_Late,3,Sockeye,CU_23,Shuswap_L,L_Shu
SK-Fraser_Late,4,Sockeye,CU_8,Cultus_L,L_Cult
SK-Fraser_Late,5,Sockeye,CU_16,Widgeon_RT,RT_Wid
SK-Fraser_Summer,-1,Sockeye,CU_21,Takla_Trem_S_S,S_TakTremStu
SK-Fraser_Summer,0,Sockeye,CU_22,Quesnel_S,S_Ques
SK-Fraser_Summer,1,Sockeye,CU_6,Chilko_S_ES,S_Chilko
SK-Fraser_Summer,2,Sockeye,CU_7,Fran_Fras_S,S_FranFras
SK-Fraser_Summer,3,Sockeye,CU_9,Harrison_R,RT_HarrR
TBD,-1,Chinook,CK_82,Upper Adams River_SU_x.x,UADAMS
