"Year","EFS"
1950,264
1951,9
1952,51
1953,47564
1954,146
1955,30
1956,39
1957,132852
1958,1269
1959,29
1960,123
1961,69950
1962,566
1963,40
1964,159
1965,105342
1966,1040
1967,24
1968,462.470681458003
1969,76565
1970,388
1971,16
1972,46
1973,112414
1974,2587
1975,105
1976,209
1977,160497
1978,4349
1979,238
1980,98
1981,329583
1982,20035
1983,1098
1984,551
1985,691861
1986,94649
1987,11238
1988,4185
1989,941793.091151605
1990,258251.588590188
1991,25149.2473183766
1992,4250.88724584104
1993,1489050
1994,353264
1995,116867
1996,21719
1997,885434
1998,527427
1999,106100
2000,36957
2001,1671869
2002,1575821.84771991
2003,146407
2004,6534
2005,819589.83806269
2006,87614
2007,33004
2008,2459
2009,79915
2010,127647
2011,16690
2012,95
2013,91714
2014,419775
2015,25088
2016,202
2017,58459
2018,324363
2019,14085
2020,505
2021,53048
