"Year","Taseko Lake","ETS"
1950,500,500
1951,500,500
1952,3449.6973,3449.6973
1953,4085.4858,4085.4858
1954,3233.65,3233.65
1955,4065.16,4065.16
1956,1842.2566,1842.2566
1957,3647,3647
1958,7513,7513
1959,15078.048,15078.048
1960,2518.5514,2518.5514
1961,80,80
1962,649,649
1963,29387.986,29387.986
1964,400.0487,400.0487
1965,0,0
1966,326.1367,326.1367
1967,4856.4,4856.4
1968,0,0
1969,0,0
1970,0,0
1971,7182,7182
1972,2239.3,2239.3
1973,0,0
1974,0,0
1975,4258.2254,4258.2254
1976,630,630
1977,0,0
1978,NA,NA
1979,0,0
1980,679,679
1981,NA,NA
1982,NA,NA
1983,1630,1630
1984,2663.2081,2663.2081
1985,0,0
1986,NA,NA
1987,3504.2223,3504.2223
1988,11138,11138
1989,65,65
1990,NA,NA
1991,NA,NA
1992,970,970
1993,NA,NA
1994,270,270
1995,1840,1840
1996,1451.184,1451.184
1997,281.255,281.255
1998,366.68,366.68
1999,1089.008,1089.008
2000,3000,3000
2001,1000,1000
2002,1300,1300
2003,380,380
2004,320,320
2005,520,520
2006,2140,2140
2007,233,233
2008,46.17,46.17
2009,40,40
2010,673,673
2011,874.848,874.848
2012,100,100
2013,121.1386,121.1386
2014,107,107
2015,917.77,917.77
2016,164,164
2017,20,20
2018,70,70
2019,NA,NA
