"","CU.Name","Stock.Name.stream."
"1","CU not identified","Spuzzum Creek"
"2","Kawkawa - Late","Kawkawa Creek/Lake"
"3","Fraser - Early Summer","Endako River"
"4","Francois-Fraser - Summer","Ormond Creek"
"5","CU not identified","Seton Creek"
"6","Harrison (D/S) - Late","Bear Creek"
"7","Middle Fraser - Summer","Bridge River"
"8","Shuswap - Early Summer","Momich River, lower"
"9","Shuswap - Early Summer","Adams River, upper"
"10","CU not identified","Emory Creek"
"11","Francois-Fraser - Summer","Bednesti Creek"
"12","CU not identified","Cayoosh Creek"
"13","CU not identified","American Creek"
"14","CU not identified","Coquihalla River"
"15","CU not identified","Silver Hope Creek"
"16","Takla-Trembleur - Early Stuart","Sowchea Creek"
"17","Kamloops - Summer","Dunn Creek"
"18","Indian/Kruger - Early Summer (extirpated?)","Indianpoint Creek"
"19","CU not identified","Texas Creek"
"20","CU not identified","Gallagher Creek"
"21","CU not identified","Dog Creek"
"22","Shuswap - Early Summer","Burton Creek"
"23","Francois (First Run) - Early Summer (extirpated?)","Tagetochlain Creek"
"24","Takla-Trembleur - Early Stuart","Nahounli Creek"
"25","CU not identified","Chehalis River"
"26","Quesnel - Summer","Archie Creek"
"27","Takla-Trembleur - Early Stuart","Unnamed Creek"
"28","Middle Fraser - Summer","Williams Lake River"
"29","CU not identified","Yale Creek"
"30","CU not identified","Wahleach Creek"
"31","Middle Fraser - Summer","Yalakom River"
"32","Harrison River - Summer","Gallagher Creek"
"33","Quesnel - Summer","Winkley Creek"
"34","Quesnel - Summer","Clearbrook Creek"
"35","Shuswap Complex - Late","5 Mile Creek"
"36","Shuswap - Early Summer","Momich River, upper"
"37","CU not identified","Tarnezell Creek"
"38","Upper Fraser - Summer","Nechako River"
"39","Shuswap - Early Summer","Cayenne Creek"
"40","CU not identified","Maria Slough"
"41","CU not identified","Vedder River"
"42","Shuswap Complex - Late","Cayenne Creek"
"43","Upper Fraser - Summer","Swift Creek"
"44","Alouette - Early Summer","Alouette River"
"45","CU not identified","Upper & Lower Seton Channels"
"46","CU not identified","Thompson River"
"47","Middle Fraser - Summer","Hatchery Creek"
"48","Quesnel - Summer","Raft Creek"
"49","CU not identified","Ruby Creek"
"50","Middle Fraser - Summer","West Road River"
"51","Middle Fraser - Summer","Churn Creek"
"52","CU not identified","Chilliwack River"
"53","Middle Fraser - Summer","Cariboo River, lower"
"54","Quesnel - Summer","Amos Creek"
"55","CU not identified","Deadman River"
"56","Upper Fraser - Summer","Bowron River, lower"
"57","Shuswap Complex - Late","Tsikwustum Creek"
"58","Shuswap - Early Summer","Bush Creek"
"59","Nadina-Francois - Early Summer","Glacier Creek"
"60","CU not identified","Butterfield Creek"
"61","CU not identified","Nancut Creek"
"62","Shuswap Complex - Late","Loftus Creek"
"63","Upper Fraser - Summer","Fraser River (@ Tete Jaune)"
"64","Bowron - Early Summer","Pomeroy Creek"
"65","Bowron - Early Summer","Sus Creek"
"66","Middle Fraser - Summer","Hawks Creek"
"67","Cariboo - Summer","Cariboo River, upper"
"68","Pitt - Early Summer","Blue Creek"
"69","Shuswap - Early Summer","Shuswap Lake Shore"
"70","Shuswap Complex - Late","Fortune Creek"
"71","Shuswap Complex - Late","Hlina Creek"
"72","Shuswap Complex - Late","Owlhead Creek"
"73","Shuswap Complex - Late","Four Mile Creek"
"74","Shuswap Complex - Late","South Pass Creek"
"75","Shuswap Complex - Late","Camp Creek"
"76","Shuswap Complex - Late","Senn Creek"
"77","Middle Fraser - Summer","Baezaeko River"
"78","Pitt - Early Summer","Cypress Creek"
"79","Indian/Kruger - Early Summer (extirpated?)","Kruger Creek"
"80","Middle Fraser - Late","Bridge River (Late)"
"81","CU not identified","Euchiniko River"
"82","CU not identified","Frank Creek (Cariboo)"
"83","CU not identified","Keithley Creek (Cariboo)"
"84","CU not identified","Little River (Cariboo)"
"85","Upper Fraser - Summer","Goat River"
"86","CU not identified","Hicks Creek"
"87","Taseko - Early Summer","Taseko River, upper"
"88","Widgeon - Summer","Widgeon Creek"
"89","CU not identified","Cunningham Creek"
"90","Shuswap - Early Summer","Four Mile Creek - Shore"
"91","Lillooet-Harrison - Late","Joffre Creek"
"92","Lillooet-Harrison - Late","North Creek"
"93","Lillooet-Harrison - Late","Owl Creek"
"94","Harrison (U/S) - Late","Sakwi Creek"
"95","Lillooet-Harrison - Late","Ure Creek"
"96","Pitt - Early Summer","Olsen Creek"
"97","Quesnel - Summer","Adams Creek Shore"
"98","Lillooet-Harrison - Late","One Mile Creek Complex"
"99","Pitt - Early Summer","Ballpark Creek"
"100","Pitt - Early Summer","Lower Forestry Creek"
"101","Pitt - Early Summer","Steve Creek"
"102","Chilliwack - Early Summer","Paleface Creek"
